Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,337,0,410.0,481.4925684992781,50.74516701279208,1649.073042004602,8905.0,9.285929096828255,0.0,410,520,600,680,860,1000,1200,1300,1600,1600,1600
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,1,0,578.1957920116838,578.1957920116838,578.1957920116838,578.1957920116838,28212.0,0.02755468574726485,0.0,580,580,580,580,580,580,580,580,580,580,580
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,1,0,905.7158340001479,905.7158340001479,905.7158340001479,905.7158340001479,28222.0,0.02755468574726485,0.0,910,910,910,910,910,910,910,910,910,910,910
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,2,0,870.0,1117.2743545030244,866.7147500091232,1367.8339589969255,29375.5,0.0551093714945297,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,1,0,1092.1040420071222,1092.1040420071222,1092.1040420071222,1092.1040420071222,28217.0,0.02755468574726485,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,1,0,1242.514666984789,1242.514666984789,1242.514666984789,1242.514666984789,28201.0,0.02755468574726485,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,2,0,931.9199580058921,1302.7757710078731,931.9199580058921,1673.6315840098541,28491.0,0.0551093714945297,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,1,0,983.3183749869931,983.3183749869931,983.3183749869931,983.3183749869931,28211.0,0.02755468574726485,0.0,980,980,980,980,980,980,980,980,980,980,980
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=110,1,0,869.0481249941513,869.0481249941513,869.0481249941513,869.0481249941513,28222.0,0.02755468574726485,0.0,870,870,870,870,870,870,870,870,870,870,870
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=112,3,0,990.0,1010.4940829914995,767.6140409894288,1270.4867080028635,28226.0,0.08266405724179456,0.0,990,990,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=113,2,0,990.0,1001.4725835062563,985.4977920185775,1017.4473749939352,28770.0,0.0551093714945297,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=114,2,0,1200.0,1506.5387710055802,1162.115500017535,1850.9620419936255,29061.0,0.0551093714945297,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=115,3,0,1100.0,1349.6200276713353,950.2037080237642,2007.1084999945015,28770.0,0.08266405724179456,0.0,1100,1100,2000,2000,2000,2000,2000,2000,2000,2000,2000
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=116,2,0,280.0,495.1295414939523,276.32358300616033,713.9354999817442,28218.0,0.0551093714945297,0.0,710,710,710,710,710,710,710,710,710,710,710
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=117,1,0,1326.0644580004737,1326.0644580004737,1326.0644580004737,1326.0644580004737,29384.0,0.02755468574726485,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=118,3,0,1100.0,1046.1257779970765,950.3351669991389,1112.5374169787392,28792.333333333332,0.08266405724179456,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=119,2,0,331.07862499309704,581.2337295064935,331.07862499309704,831.38883401989,28501.0,0.0551093714945297,0.0,830,830,830,830,830,830,830,830,830,830,830
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=12,3,0,1400.0,1225.8623753247473,781.6300000122283,1449.5757919794414,28960.666666666668,0.08266405724179456,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=120,1,0,1047.1954160020687,1047.1954160020687,1047.1954160020687,1047.1954160020687,29912.0,0.02755468574726485,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=121,1,0,607.5915830151644,607.5915830151644,607.5915830151644,607.5915830151644,28212.0,0.02755468574726485,0.0,610,610,610,610,610,610,610,610,610,610,610
