Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709442692,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709442693,10,,Aggregated,0.000000,0.000000,160,180,200,210,270,300,310,330,330,330,330,52,0,160.0,159.77274280605621,36.83770800125785,333.29495799262077,52842.730769230766
1709442694,20,,Aggregated,0.000000,0.000000,170,200,240,240,300,340,420,420,430,430,430,147,0,170.0,181.89345951034485,36.83770800125785,426.1250419949647,46184.12244897959
1709442695,30,,Aggregated,36.000000,0.000000,190,240,290,330,420,460,520,590,620,620,620,242,0,190.0,223.30817340501326,36.83770800125785,616.5009580145124,47236.78512396694
1709442696,40,,Aggregated,54.000000,0.000000,240,310,380,420,520,610,730,740,980,980,980,330,0,240.0,277.8496327394598,36.83770800125785,978.4702920005657,48897.60303030303
1709442697,50,,Aggregated,66.000000,0.000000,270,370,430,470,580,730,870,990,1200,1200,1200,430,0,270.0,319.5414611625047,36.83770800125785,1248.9640830026474,46675.35813953488
1709442698,60,,Aggregated,68.750000,0.000000,310,420,480,530,700,860,980,1100,1200,1200,1200,522,0,310.0,365.2759137315523,36.83770800125785,1248.9640830026474,48593.639846743295
1709442699,70,,Aggregated,76.400000,0.000000,360,470,550,600,760,910,980,1100,1200,1200,1200,622,0,360.0,404.29081358687455,36.83770800125785,1248.9640830026474,50632.60932475884
1709442700,80,,Aggregated,79.000000,0.000000,400,520,610,700,880,980,1100,1200,1500,1500,1500,743,0,400.0,454.3681681388206,36.83770800125785,1486.3486670074053,50778.530282637956
1709442701,90,,Aggregated,82.857143,0.000000,430,570,660,730,880,980,1100,1200,1500,1500,1500,867,0,430.0,476.0525207267,36.83770800125785,1486.3486670074053,50699.73702422145
1709442702,100,,Aggregated,84.250000,0.000000,460,600,710,770,940,1100,1200,1300,1900,1900,1900,970,0,460.0,508.943353278398,36.83770800125785,1885.831749998033,50414.52577319588
1709442703,100,,Aggregated,89.444444,0.000000,490,660,760,830,1000,1200,1400,1600,2000,2100,2100,1086,0,490.0,555.287512675828,36.83770800125785,2061.633333010832,50446.900552486186
1709442704,100,,Aggregated,91.700000,0.000000,510,700,810,880,1100,1200,1500,1700,2100,2300,2300,1170,0,510.0,586.51312472745,36.83770800125785,2255.769707990112,50915.12564102564
1709442705,100,,Aggregated,99.800000,0.000000,550,730,860,950,1200,1400,1600,1800,2500,2600,2600,1275,0,550.0,627.8828121295345,36.83770800125785,2610.6277910002973,52115.378039215684
1709442706,100,,Aggregated,101.300000,0.000000,570,770,890,990,1200,1400,1700,1900,2500,2600,2600,1350,0,570.0,653.9621898836965,36.83770800125785,2610.6277910002973,52227.49925925926
1709442707,100,,Aggregated,101.800000,0.000000,600,800,940,1000,1300,1500,1800,2000,2600,2800,2800,1438,0,600.0,681.6175100925275,36.83770800125785,2751.1073749919888,51813.69680111266
1709442708,100,,Aggregated,103.400000,0.000000,620,830,980,1100,1400,1600,2000,2100,2800,2900,2900,1541,0,620.0,716.7291110823802,36.83770800125785,2854.8560829949565,52697.67942894225
1709442709,100,,Aggregated,100.800000,0.000000,640,860,1000,1100,1400,1600,2000,2100,2800,2900,2900,1614,0,640.0,731.1096692056689,36.83770800125785,2854.8560829949565,53442.83828996283
1709442710,100,,Aggregated,101.200000,0.000000,660,880,1100,1200,1400,1700,2000,2100,2800,2900,2900,1676,0,660.0,750.1987792494351,36.83770800125785,2854.8560829949565,53056.41706443914
1709442711,100,,Aggregated,100.100000,0.000000,680,910,1100,1200,1500,1800,2100,2400,2800,2900,2900,1791,0,680.0,783.3120270931955,36.83770800125785,2854.8560829949565,53804.615857063094
1709442712,100,,Aggregated,97.000000,0.000000,700,950,1100,1200,1400,1800,2100,2400,2800,2900,2900,1895,0,700.0,793.9244201720297,36.83770800125785,2854.8560829949565,54407.4617414248
1709442713,100,,Aggregated,93.100000,0.000000,710,960,1100,1200,1400,1700,2100,2400,2800,2900,2900,2019,0,710.0,800.1115591326928,36.83770800125785,2854.8560829949565,54350.573551263
1709442714,100,,Aggregated,92.100000,0.000000,730,980,1100,1200,1400,1700,2000,2300,2800,2900,2900,2104,0,730.0,806.6168999005574,36.83770800125785,2854.8560829949565,53954.22433460076
1709442715,100,,Aggregated,91.300000,0.000000,730,990,1200,1200,1500,1700,2000,2300,2800,2900,2900,2191,0,730.0,820.4315597049879,36.83770800125785,2854.8560829949565,54041.980830670924
1709442716,100,,Aggregated,93.300000,0.000000,750,990,1200,1200,1500,1700,2000,2300,2800,2900,2900,2318,0,750.0,824.8800713380416,36.83770800125785,2854.8560829949565,54206.73425366695
1709442717,100,,Aggregated,91.600000,0.000000,760,1000,1200,1200,1500,1700,2000,2300,2800,2900,2900,2420,0,760.0,828.4041884767631,36.83770800125785,2854.8560829949565,53960.57892561983
1709442718,100,,Aggregated,95.200000,0.000000,770,1000,1200,1200,1500,1700,2000,2300,2800,2900,2900,2514,0,770.0,834.453676888099,36.83770800125785,2854.8560829949565,54149.07597454256
1709442719,100,,Aggregated,96.900000,0.000000,790,1000,1200,1300,1500,1700,2000,2300,2800,2900,2900,2605,0,790.0,844.7677019465922,36.83770800125785,2854.8560829949565,54061.78003838772
1709442720,100,,Aggregated,97.500000,0.000000,800,1000,1200,1300,1500,1700,2000,2300,2800,2900,2900,2720,0,790.0,853.7811118366279,36.83770800125785,2854.8560829949565,54104.30294117647
1709442721,100,,Aggregated,96.200000,0.000000,800,1100,1200,1300,1500,1700,2000,2300,2800,2900,2900,2817,0,800.0,856.9243015716747,36.83770800125785,2854.8560829949565,53822.05466808662
1709442722,100,,Aggregated,99.000000,0.000000,810,1100,1200,1300,1500,1700,2000,2300,2800,2900,2900,2922,0,810.0,860.2533683218442,36.83770800125785,2854.8560829949565,53343.3932238193
