Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,508,0,29,37.30016683070649,8.382146712392569,271.06028981506824,8905.0,8.523418105558337,0.0,29,35,41,44,56,76,210,250,270,270,270
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,2,0,86.346086114645,119.47498959489167,86.346086114645,152.60389307513833,28510.0,0.03355676419511156,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,3,0,100.0,102.05461566026013,89.29842198267579,114.48284890502691,28780.333333333332,0.05033514629266734,0.0,100,100,110,110,110,110,110,110,110,110,110
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,2,0,110.87504029273987,126.0693296790123,110.87504029273987,141.26361906528473,28510.0,0.03355676419511156,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,5,0,140.0,133.5967888124287,106.14827368408442,161.52283642441034,28576.0,0.0838919104877789,0.0,140,140,140,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,5,0,140.0,151.6987412236631,122.17950820922852,222.0294838771224,28443.0,0.0838919104877789,0.0,140,150,150,220,220,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,5,0,170.0,156.0912298038602,100.38391407579184,186.5397379733622,29122.6,0.0838919104877789,0.0,170,180,180,190,190,190,190,190,190,190,190
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,2,0,86,120.56094594299793,85.66729491576552,155.45459697023034,28511.0,0.03355676419511156,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,3,0,160.0,168.4789021189014,136.9661414064467,209.4263657927513,28612.333333333332,0.05033514629266734,0.0,160,160,210,210,210,210,210,210,210,210,210
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,5,0,130.0,130.9952144511044,95.47210996970534,175.8361621759832,28319.2,0.0838919104877789,0.0,130,130,130,180,180,180,180,180,180,180,180
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,3,0,160.0,159.69340285907188,141.58413279801607,176.84702668339014,28399.0,0.05033514629266734,0.0,160,160,180,180,180,180,180,180,180,180,180
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,4,0,130.0,134.53422510065138,98.32766326144338,169.67406822368503,29217.5,0.06711352839022312,0.0,140,140,170,170,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=11,4,0,110.0,171.28590610809624,98.76994602382183,297.48266469687223,29081.5,0.06711352839022312,0.0,180,180,300,300,300,300,300,300,300,300,300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=110,2,0,110.0,126.8816627562046,109.8999297246337,143.86339578777552,29642.0,0.03355676419511156,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=111,6,0,170.0,184.20448852702975,143.90971418470144,234.68078626319766,28514.333333333332,0.10067029258533468,0.0,180,180,230,230,230,230,230,230,230,230,230
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=112,4,0,110.0,143.28186586499214,100.92365415766835,221.12209303304553,28513.75,0.06711352839022312,0.0,140,140,220,220,220,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=113,3,0,140.0,133.36389201382795,110.02244893461466,148.67375092580914,28961.666666666668,0.05033514629266734,0.0,140,140,150,150,150,150,150,150,150,150,150
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=114,6,0,150.0,152.17297873459756,117.54483822733164,177.19376180320978,28578.666666666668,0.10067029258533468,0.0,160,160,160,160,180,180,180,180,180,180,180
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=115,3,0,180.0,159.14566830421487,108.79895370453596,184.47039788588881,29541.0,0.05033514629266734,0.0,180,180,180,180,180,180,180,180,180,180,180
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=116,3,0,120.0,132.1684280410409,107.8611807897687,173.6145201139152,28601.666666666668,0.05033514629266734,0.0,120,120,170,170,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=117,1,0,161.1226531676948,161.1226531676948,161.1226531676948,161.1226531676948,29369.0,0.01677838209755578,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=118,1,0,102.92357811704278,102.92357811704278,102.92357811704278,102.92357811704278,28219.0,0.01677838209755578,0.0,100,100,100,100,100,100,100,100,100,100,100
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=119,3,0,140.0,143.5848685602347,132.15601863339543,162.051095161587,28971.0,0.05033514629266734,0.0,140,140,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=12,8,0,140.0,158.3553709788248,106.34477809071541,223.84400619193912,28919.75,0.13422705678044625,0.0,140,170,220,220,220,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=120,2,0,133.53031827136874,152.63583255000412,133.53031827136874,171.7413468286395,28778.0,0.03355676419511156,0.0,170,170,170,170,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=121,5,0,160.0,158.4290529601276,109.89040089771152,207.8289999626577,28473.6,0.0838919104877789,0.0,160,190,190,210,210,210,210,210,210,210,210
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=122,3,0,210.0,174.31850141535202,81.9167853333056,230.14331283047795,29187.0,0.05033514629266734,0.0,210,210,230,230,230,230,230,230,230,230,230
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=123,3,0,140.0,128.05469256515303,84.38450610265136,160.3395026177168,28606.0,0.05033514629266734,0.0,140,140,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=124,1,0,243.98834630846977,243.98834630846977,243.98834630846977,243.98834630846977,28230.0,0.01677838209755578,0.0,240,240,240,240,240,240,240,240,240,240,240
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=125,3,0,140.0,161.18739219382405,134.15923388674855,205.10940486565232,29539.666666666668,0.05033514629266734,0.0,140,140,210,210,210,210,210,210,210,210,210
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=126,1,0,220.10257793590426,220.10257793590426,220.10257793590426,220.10257793590426,28773.0,0.01677838209755578,0.0,220,220,220,220,220,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=127,3,0,130.0,126.55575418223937,108.47298614680767,142.00118370354176,28591.333333333332,0.05033514629266734,0.0,130,130,140,140,140,140,140,140,140,140,140
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=128,4,0,120.0,138.3321777684614,102.22945502027869,197.2308629192412,28793.0,0.06711352839022312,0.0,140,140,200,200,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=129,4,0,120.0,149.01306491810828,101.59504925832152,220.80180002376437,28949.5,0.06711352839022312,0.0,150,150,220,220,220,220,220,220,220,220,220
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=13,4,0,110.0,132.50099075958133,105.46105494722724,169.30786473676562,28920.0,0.06711352839022312,0.0,150,150,170,170,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=130,3,0,140.0,138.5066135165592,125.24388218298554,148.79529224708676,28608.333333333332,0.05033514629266734,0.0,140,140,150,150,150,150,150,150,150,150,150
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=131,1,0,87.73837797343731,87.73837797343731,87.73837797343731,87.73837797343731,29363.0,0.01677838209755578,0.0,88,88,88,88,88,88,88,88,88,88,88
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=132,2,0,130.0,149.19127337634563,129.24160389229655,169.14094286039472,29375.5,0.03355676419511156,0.0,170,170,170,170,170,170,170,170,170,170,170
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=133,4,0,110.0,112.29005677159876,98.97837089374661,124.86820202320814,28935.25,0.06711352839022312,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=135,4,0,150.0,160.37372802384198,93.47599279135466,213.10375072062016,29101.25,0.06711352839022312,0.0,190,190,210,210,210,210,210,210,210,210,210
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=136,4,0,140.0,147.0133176771924,102.70379390567541,209.18674301356077,28660.75,0.06711352839022312,0.0,140,140,210,210,210,210,210,210,210,210,210
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=137,4,0,120.0,118.57341416180134,102.2170097567141,131.56240992248058,28481.75,0.06711352839022312,0.0,120,120,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=138,3,0,160.0,167.6407422249516,141.08708081766963,199.0033918991685,28764.666666666668,0.05033514629266734,0.0,160,160,200,200,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=139,1,0,142.37006939947605,142.37006939947605,142.37006939947605,142.37006939947605,29924.0,0.01677838209755578,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=14,3,0,130.0,120.138523944964,102.89429780095816,131.99419574812055,28788.333333333332,0.05033514629266734,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=140,2,0,150.98105231299996,156.46749176084995,150.98105231299996,161.95393120869994,29087.0,0.03355676419511156,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=141,2,0,92.08836778998375,109.65788085013628,92.08836778998375,127.22739391028881,28516.5,0.03355676419511156,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=142,2,0,160.0,160.24066205136478,155.8173969388008,164.66392716392875,28223.0,0.03355676419511156,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=143,2,0,160.0,168.75295666977763,158.06070109829307,179.4452122412622,28776.5,0.03355676419511156,0.0,180,180,180,180,180,180,180,180,180,180,180
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=145,2,0,102.75633493438363,130.1367343403399,102.75633493438363,157.51713374629617,28792.0,0.03355676419511156,0.0,160,160,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=146,3,0,100.0,123.66420760129888,93.15693890675902,177.34135687351227,28796.666666666668,0.05033514629266734,0.0,100,100,180,180,180,180,180,180,180,180,180
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=147,4,0,120.0,134.31985024362803,115.72760296985507,162.93039312586188,29083.0,0.06711352839022312,0.0,140,140,160,160,160,160,160,160,160,160,160
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=148,1,0,135.73117414489388,135.73117414489388,135.73117414489388,135.73117414489388,28230.0,0.01677838209755578,0.0,140,140,140,140,140,140,140,140,140,140,140
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=149,1,0,134.18775703758,134.18775703758,134.18775703758,134.18775703758,29348.0,0.01677838209755578,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=15,1,0,123.42782318592072,123.42782318592072,123.42782318592072,123.42782318592072,29348.0,0.01677838209755578,0.0,120,120,120,120,120,120,120,120,120,120,120
