Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,619,0,140.0,169.17974719934176,18.04667804390192,751.6428302042186,8905.0,10.460973155053875,0.0,140,180,220,240,300,400,500,600,750,750,750
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,2,0,241.7203546501696,476.79460933431983,241.7203546501696,711.86886401847,29073.0,0.03379959016172496,0.0,710,710,710,710,710,710,710,710,710,710,710
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,3,0,550.0,568.0140239807466,455.7240125723183,696.3169882073998,28790.666666666668,0.050699385242587436,0.0,550,550,700,700,700,700,700,700,700,700,700
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,5,0,550.0,511.8748124688864,327.6638751849532,693.863479886204,29141.0,0.0844989754043124,0.0,550,600,600,690,690,690,690,690,690,690,690
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,2,0,594.4482479244471,677.7850741054863,594.4482479244471,761.1219002865255,29100.5,0.03379959016172496,0.0,760,760,760,760,760,760,760,760,760,760,760
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,5,0,660.0,656.602000631392,451.0552757419646,864.7057260386646,28906.2,0.0844989754043124,0.0,660,690,690,860,860,860,860,860,860,860,860
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,1,0,614.0616936609149,614.0616936609149,614.0616936609149,614.0616936609149,29362.0,0.01689979508086248,0.0,610,610,610,610,610,610,610,610,610,610,610
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,4,0,620.0,725.5660911323503,535.9396580606699,946.0459109395742,28639.5,0.06759918032344991,0.0,800,800,950,950,950,950,950,950,950,950,950
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,7,0,530.0,523.0683146177659,292.9369290359318,688.402617815882,28781.714285714286,0.11829856556603735,0.0,530,590,630,630,690,690,690,690,690,690,690
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,3,0,530.0,525.423220358789,366.01666221395135,684.5101397484541,28783.333333333332,0.050699385242587436,0.0,530,530,680,680,680,680,680,680,680,680,680
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=11,1,0,387.8123969770968,387.8123969770968,387.8123969770968,387.8123969770968,28220.0,0.01689979508086248,0.0,390,390,390,390,390,390,390,390,390,390,390
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=110,4,0,550.0,593.3872763998806,490.9605011343956,756.9180829450488,28365.25,0.06759918032344991,0.0,580,580,760,760,760,760,760,760,760,760,760
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=111,2,0,490.0,505.2404897287488,486.01557221263647,524.4654072448611,28226.0,0.03379959016172496,0.0,520,520,520,520,520,520,520,520,520,520,520
