Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,1186,0,120.0,143.25482512645198,18.600971903651953,929.5598231256008,8905.0,9.939385008297526,0.0,120,150,180,200,260,310,430,520,910,930,930
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=10,10,0,630.0,637.1759283356369,496.58543011173606,759.7164041362703,28736.2,0.08380594442072113,0.0,630,640,730,730,760,760,760,760,760,760,760
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=100,2,0,830.4892368614674,1150.4751108586788,830.4892368614674,1470.4609848558903,28784.5,0.016761188884144226,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=101,5,0,470.0,476.37892523780465,341.76906291395426,578.1592098064721,28681.6,0.041902972210360566,0.0,470,540,540,580,580,580,580,580,580,580,580
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=102,6,0,580.0,608.4509032468001,406.94731986150146,742.9961245507002,29380.166666666668,0.05028356665243268,0.0,630,630,730,730,740,740,740,740,740,740,740
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=103,4,0,500.0,610.1449116831645,320.0379186309874,892.3737788572907,28791.0,0.03352237776828845,0.0,730,730,890,890,890,890,890,890,890,890,890
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=104,8,0,600.0,601.8957452615723,373.1518820859492,787.3273179866374,29068.5,0.0670447555365769,0.0,640,700,770,770,790,790,790,790,790,790,790
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=105,7,0,600.0,740.9004112705588,564.5568980835378,1277.997056953609,29032.285714285714,0.05866416109450479,0.0,600,690,890,890,1300,1300,1300,1300,1300,1300,1300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=106,5,0,570.0,570.8665693178773,412.31030924245715,784.280582331121,28797.6,0.041902972210360566,0.0,570,620,620,780,780,780,780,780,780,780,780
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=107,4,0,510.0,517.0294450363144,303.07458713650703,683.6585532873869,28634.25,0.03352237776828845,0.0,570,570,680,680,680,680,680,680,680,680,680
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=108,6,0,500.0,542.194058575357,383.52900417521596,751.7409920692444,28483.833333333332,0.05028356665243268,0.0,530,530,650,650,750,750,750,750,750,750,750
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=109,9,0,610.0,607.2602256511649,388.416132889688,808.5441719740629,28659.333333333332,0.07542534997864901,0.0,610,700,780,800,810,810,810,810,810,810,810
